Element,Item,Year,Unit,Consumption Value,Import Quantity Value,Export Quantity Value,Population
Tourist consumption,Almonds shelled,2010,tonnes,0,1110861,,62766365
Tourist consumption,Almonds shelled,2011,tonnes,0,901511,,63258810
Tourist consumption,Almonds shelled,2012,tonnes,0,1784946,,63700215
Tourist consumption,Almonds shelled,2013,tonnes,0,2963404,,64128273
Tourist consumption,Almonds shelled,2014,tonnes,,1815285,,64602298
Tourist consumption,Almonds shelled,2015,tonnes,,1537799,,65116219
Tourist consumption,Almonds shelled,2016,tonnes,,1472283,,65611593
Tourist consumption,"Almonds, with shell",2010,tonnes,0,1868861,,66058859
Tourist consumption,"Almonds, with shell",2011,tonnes,0,2148066,,66460344
Tourist consumption,"Almonds, with shell",2012,tonnes,0,1210184,,66836327
Tourist consumption,"Almonds, with shell",2013,tonnes,0,2133002,,67215293
Tourist consumption,"Almonds, with shell",2014,tonnes,,,,
Tourist consumption,"Almonds, with shell",2015,tonnes,,,,
Tourist consumption,"Almonds, with shell",2016,tonnes,,,,
Tourist consumption,"Anise, badian, fennel, coriander",2010,tonnes,0,,,
Tourist consumption,"Anise, badian, fennel, coriander",2011,tonnes,0,,,
Tourist consumption,"Anise, badian, fennel, coriander",2012,tonnes,0,,,
Tourist consumption,"Anise, badian, fennel, coriander",2013,tonnes,0,,,
Tourist consumption,"Anise, badian, fennel, coriander",2014,tonnes,,,,
Tourist consumption,"Anise, badian, fennel, coriander",2015,tonnes,,,,
Tourist consumption,"Anise, badian, fennel, coriander",2016,tonnes,,,,
Tourist consumption,Apples,2010,tonnes,0,,,
Tourist consumption,Apples,2011,tonnes,0,,,
Tourist consumption,Apples,2012,tonnes,0,,,
Tourist consumption,Apples,2013,tonnes,0,,,
Tourist consumption,Apples,2014,tonnes,,,,
Tourist consumption,Apples,2015,tonnes,,,,
Tourist consumption,Apples,2016,tonnes,,,,
Tourist consumption,Apricots,2010,tonnes,0,,,
Tourist consumption,Apricots,2011,tonnes,0,,,
Tourist consumption,Apricots,2012,tonnes,0,,,
Tourist consumption,Apricots,2013,tonnes,0,,,
Tourist consumption,Apricots,2014,tonnes,,,,
Tourist consumption,Apricots,2015,tonnes,,,,
Tourist consumption,Apricots,2016,tonnes,,,,
Tourist consumption,"Apricots, dry",2010,tonnes,0,,,
Tourist consumption,"Apricots, dry",2011,tonnes,0,,,
Tourist consumption,"Apricots, dry",2012,tonnes,0,,,
Tourist consumption,"Apricots, dry",2013,tonnes,0,,,
Tourist consumption,"Apricots, dry",2014,tonnes,,,,
Tourist consumption,"Apricots, dry",2015,tonnes,,,,
Tourist consumption,"Apricots, dry",2016,tonnes,,,,
Tourist consumption,Areca nuts,2010,tonnes,0,,,
Tourist consumption,Areca nuts,2011,tonnes,0,,,
Tourist consumption,Areca nuts,2012,tonnes,0,,,
Tourist consumption,Areca nuts,2013,tonnes,0,,,
Tourist consumption,Areca nuts,2014,tonnes,,,,
Tourist consumption,Areca nuts,2015,tonnes,,,,
Tourist consumption,Areca nuts,2016,tonnes,,,,
Tourist consumption,Artichokes,2010,tonnes,0,,,
Tourist consumption,Artichokes,2011,tonnes,0,,,
Tourist consumption,Artichokes,2012,tonnes,0,,,
Tourist consumption,Artichokes,2013,tonnes,0,,,
Tourist consumption,Artichokes,2014,tonnes,,,,
Tourist consumption,Artichokes,2015,tonnes,,,,
Tourist consumption,Artichokes,2016,tonnes,,,,
Tourist consumption,Asparagus,2010,tonnes,0,,,
Tourist consumption,Asparagus,2011,tonnes,0,,,
Tourist consumption,Asparagus,2012,tonnes,0,,,
Tourist consumption,Asparagus,2013,tonnes,0,,,
Tourist consumption,Asparagus,2014,tonnes,,,,
Tourist consumption,Asparagus,2015,tonnes,,,,
Tourist consumption,Asparagus,2016,tonnes,,,,
Tourist consumption,Avocados,2010,tonnes,0,,,
Tourist consumption,Avocados,2011,tonnes,0,,,
Tourist consumption,Avocados,2012,tonnes,0,,,
Tourist consumption,Avocados,2013,tonnes,0,,,
Tourist consumption,Avocados,2014,tonnes,,,,
Tourist consumption,Avocados,2015,tonnes,,,,
Tourist consumption,Avocados,2016,tonnes,,,,
Tourist consumption,Bacon and ham,2010,tonnes,0,,,
Tourist consumption,Bacon and ham,2011,tonnes,0,,,
Tourist consumption,Bacon and ham,2012,tonnes,0,,,
Tourist consumption,Bacon and ham,2013,tonnes,0,,,
Tourist consumption,Bacon and ham,2014,tonnes,,,,
Tourist consumption,Bacon and ham,2015,tonnes,,,,
Tourist consumption,Bacon and ham,2016,tonnes,,,,
Tourist consumption,Bambara beans,2010,tonnes,0,,,
Tourist consumption,Bambara beans,2011,tonnes,0,,,
Tourist consumption,Bambara beans,2012,tonnes,0,,,
Tourist consumption,Bambara beans,2013,tonnes,0,,,
Tourist consumption,Bambara beans,2014,tonnes,,,,
Tourist consumption,Bambara beans,2015,tonnes,,,,
Tourist consumption,Bambara beans,2016,tonnes,,,,
Tourist consumption,Bananas,2010,tonnes,0,,,
Tourist consumption,Bananas,2011,tonnes,0,,,
Tourist consumption,Bananas,2012,tonnes,0,,,
Tourist consumption,Bananas,2013,tonnes,0,,,
Tourist consumption,Bananas,2014,tonnes,,,,
Tourist consumption,Bananas,2015,tonnes,,,,
Tourist consumption,Bananas,2016,tonnes,,,,
Feed,Barley,2010,tonnes,3533000,,,
Feed,Barley,2011,tonnes,3135000,,,
Feed,Barley,2012,tonnes,2997000,,,
Feed,Barley,2013,tonnes,3336000,,,
Feed,Barley,2014,tonnes,3455000,,,
Feed,Barley,2015,tonnes,3430000,,,
Feed,Barley,2016,tonnes,3542000,,,
Feed,Barley,2017,tonnes,3922000,,,
Feed,Barley,2018,tonnes,3807000,,,
Feed,Barley,2019,tonnes,3787000,,,
Tourist consumption,"Barley, pearled",2010,tonnes,0,,,
Tourist consumption,"Barley, pearled",2011,tonnes,0,,,
Tourist consumption,"Barley, pearled",2012,tonnes,0,,,
Tourist consumption,"Barley, pearled",2013,tonnes,0,,,
Tourist consumption,"Barley, pearled",2014,tonnes,,,,
Tourist consumption,"Barley, pearled",2015,tonnes,,,,
Tourist consumption,"Barley, pearled",2016,tonnes,,,,
Feed,"Barley, pot",2014,tonnes,,,,
Feed,"Barley, pot",2015,tonnes,,,,
Feed,"Barley, pot",2016,tonnes,,,,
Feed,"Beans, dry",2010,tonnes,55658,,,
Feed,"Beans, dry",2011,tonnes,59593,,,
Feed,"Beans, dry",2012,tonnes,25273,,,
Feed,"Beans, dry",2013,tonnes,67966,,,
Feed,"Beans, dry",2014,tonnes,51023,,,
Feed,"Beans, dry",2015,tonnes,71072,,,
Feed,"Beans, dry",2016,tonnes,57614,,,
Feed,"Beans, dry",2017,tonnes,55833,,,
Feed,"Beans, dry",2018,tonnes,59007,,,
Feed,"Beans, dry",2019,tonnes,57904,,,
Tourist consumption,"Beans, dry",2010,tonnes,0,,,
Tourist consumption,"Beans, dry",2011,tonnes,0,,,
Tourist consumption,"Beans, dry",2012,tonnes,0,,,
Tourist consumption,"Beans, dry",2013,tonnes,0,,,
Tourist consumption,"Beans, dry",2014,tonnes,,,,
Tourist consumption,"Beans, dry",2015,tonnes,,,,
Tourist consumption,"Beans, dry",2016,tonnes,,,,
Tourist consumption,"Beans, green",2010,tonnes,0,,,
Tourist consumption,"Beans, green",2011,tonnes,0,,,
Tourist consumption,"Beans, green",2012,tonnes,0,,,
Tourist consumption,"Beans, green",2013,tonnes,0,,,
Tourist consumption,"Beans, green",2014,tonnes,,,,
Tourist consumption,"Beans, green",2015,tonnes,,,,
Tourist consumption,"Beans, green",2016,tonnes,,,,
Tourist consumption,Beer of barley,2010,tonnes,0,,,
Tourist consumption,Beer of barley,2011,tonnes,0,,,
Tourist consumption,Beer of barley,2012,tonnes,0,,,
Tourist consumption,Beer of barley,2013,tonnes,0,,,
Tourist consumption,Beer of barley,2014,tonnes,,,,
Tourist consumption,Beer of barley,2015,tonnes,,,,
Tourist consumption,Beer of barley,2016,tonnes,,,,
Tourist consumption,Berries nes,2010,tonnes,0,,,
Tourist consumption,Berries nes,2011,tonnes,0,,,
Tourist consumption,Berries nes,2012,tonnes,0,,,
Tourist consumption,Berries nes,2013,tonnes,0,,,
Tourist consumption,Berries nes,2014,tonnes,,,,
Tourist consumption,Berries nes,2015,tonnes,,,,
Tourist consumption,Berries nes,2016,tonnes,,,,
Tourist consumption,"Beverages, distilled alcoholic",2010,tonnes,0,,,
Tourist consumption,"Beverages, distilled alcoholic",2011,tonnes,0,,,
Tourist consumption,"Beverages, distilled alcoholic",2012,tonnes,0,,,
Tourist consumption,"Beverages, distilled alcoholic",2013,tonnes,0,,,
Tourist consumption,"Beverages, distilled alcoholic",2014,tonnes,,,,
Tourist consumption,"Beverages, distilled alcoholic",2015,tonnes,,,,
Tourist consumption,"Beverages, distilled alcoholic",2016,tonnes,,,,
Tourist consumption,"Beverages, fermented rice",2010,tonnes,0,,,
Tourist consumption,"Beverages, fermented rice",2011,tonnes,0,,,
Tourist consumption,"Beverages, fermented rice",2012,tonnes,0,,,
Tourist consumption,"Beverages, fermented rice",2013,tonnes,0,,,
Tourist consumption,"Beverages, fermented rice",2014,tonnes,,,,
Tourist consumption,"Beverages, fermented rice",2015,tonnes,,,,
Tourist consumption,"Beverages, fermented rice",2016,tonnes,,,,
Tourist consumption,Blueberries,2010,tonnes,0,,,
Tourist consumption,Blueberries,2011,tonnes,0,,,
Tourist consumption,Blueberries,2012,tonnes,0,,,
Tourist consumption,Blueberries,2013,tonnes,0,,,
